,ED_MDM_Product_Code
0,ED000157592
1,ED000148859
2,ED000000174
3,ED000155268
4,
5,ED000159220
28,
29,ED000177516
33,ED000184457
34,ED000184458
35,ED000184459
38,ED000184455
40,ED000184358
42,ED000174762
43,ED000174769
45,ED000184251
47,ED000157242
48,ED000000292
49,ED000000293
50,ED000000294
51,
52,ED000175086
54,ED000157244
55,ED000157629
56,ED000157631
57,
58,ED000169824
59,ED000110012
60,ED000161085
61,ED000162633
62,ED000165328
63,ED000000257
64,ED000000257
65,ED000000258
67,ED000000260
68,ED000000260
69,ED000000313
70,ED000000312
71,ED000163713
72,ED000170169
76,ED000000358
77,ED000144626
80,ED000144717
81,ED000174779
82,ED000138198
84,ED000000374
85,ED000000375
86,ED000000375
87,ED000061484
88,ED000061484
89,ED000000378
90,ED000168450
91,ED000000378
92,ED000000376
93,ED000160976
94,ED000160976
95,ED000000380
96,ED000000381
97,ED000000381
98,ED000157564
100,
101,ED000140973
102,
103,
104,ED000145050
105,ED000140974
106,ED000140974
107,
108,ED000160181
109,ED000000403
110,ED000000403
111,ED000000399
112,ED000000400
113,ED000000405
114,ED000000406
115,ED000183182
116,ED000000404
117,ED000000422
118,ED000000423
121,ED000000425
122,
123,ED000148862
124,ED000159730
125,ED000000430
126,ED000000431
127,ED000000439
128,ED000121558
129,ED000121559
131,ED000173260
133,ED000172728
134,
135,ED000000455
136,ED000000456
137,ED000000457
138,ED000000458
139,ED000000454
140,ED000000454
141,ED000000455
142,ED000116439
143,ED000167108
147,ED000116470
148,ED000116452
149,ED000110024
151,ED000000466
152,ED000000471
153,ED000181083
154,ED000169225
155,ED000169226
158,ED000184483
159,ED000000490
162,ED000000500
163,ED000000500
164,ED000000505
165,ED000000508
166,ED000000508
168,ED000000527
169,ED000000530
170,ED000119468
171,ED000000544
172,ED000000546
177,ED000000568
178,ED000000569
180,ED000000621
181,
182,ED000110031
183,ED000000624
189,
190,
191,ED000121561
192,ED000160182
193,ED000110033
194,ED000000658
195,ED000000659
201,ED000138809
202,ED000000680
208,ED000119790
209,ED000000699
215,ED000000707
219,ED000000735
221,ED000000737
222,ED000000739
223,ED000000739
225,ED000121562
227,ED000000744
229,ED000148866
230,ED000000746
231,ED000000747
232,ED000000749
233,ED000000750
234,ED000000751
235,ED000000752
236,ED000110025
237,ED000121532
238,ED000000813
239,ED000000811
240,ED000148867
241,ED000000828
242,ED000000830
243,ED000000831
244,ED000000833
245,ED000000835
246,ED000157240
247,ED000180212
249,ED000000895
250,ED000000909
251,ED000000909
252,ED000000913
253,ED000000914
254,ED000000910
255,ED000000916
256,ED000156263
257,ED000156263
258,ED000000919
260,ED000157240
261,ED000000963
262,ED000000977
263,ED000000977
264,
265,ED000000978
266,ED000000979
267,ED000000979
268,ED000000980
269,ED000000980
270,ED000000981
271,ED000000981
273,ED000000984
274,ED000000987
275,ED000000987
276,ED000000987
277,
278,ED000000990
281,ED000140539
282,ED000000988
285,ED000001012
286,ED000001020
287,ED000001021
292,ED000001066
294,ED000001082
296,ED000151599
297,ED000121476
298,
300,ED000001084
301,ED000001084
302,ED000110040
303,ED000110040
304,ED000001075
309,ED000121566
312,
313,ED000148871
314,
315,ED000116984
320,
321,ED000001089
329,ED000001104
330,ED000001100
331,ED000001108
332,ED000001108
333,ED000110044
334,ED000175289
335,ED000175288
336,ED000175290
337,ED000175291
338,ED000175330
339,ED000175331
340,ED000175332
341,ED000175333
342,ED000175335
343,ED000157472
344,ED000001119
348,ED000001122
349,
350,ED000141970
351,ED000001127
352,ED000001127
353,ED000001128
354,ED000001125
355,ED000001125
356,ED000001124
357,ED000001126
358,ED000001129
359,ED000001129
360,
361,ED000110047
362,ED000001135
363,ED000001139
364,ED000131242
365,ED000001140
366,ED000001141
367,ED000001142
368,ED000001146
369,ED000110048
370,
371,ED000110049
372,ED000116988
373,ED000001149
374,ED000183798
375,ED000001156
376,ED000183351
377,ED000162850
381,ED000129372
382,ED000110051
383,ED000001198
384,ED000001199
386,
390,ED000159453
394,ED000119664
395,ED000001239
398,ED000001249
399,
400,
401,ED000148874
402,ED000110054
412,ED000001326
413,ED000001325
415,ED000001338
416,ED000170687
417,ED000144204
421,ED000001359
422,ED000156390
423,ED000119821
424,ED000001363
425,ED000119822
426,ED000001364
428,ED000001371
430,ED000156063
431,ED000159284
432,ED000001389
433,ED000001389
434,ED000141916
435,ED000169240
437,ED000179873
438,ED000179874
439,ED000001445
440,ED000001448
442,
443,ED000001449
445,ED000001455
446,ED000169227
447,ED000001465
448,ED000001465
449,ED000001467
450,ED000001467
454,ED000000456
465,ED000001499
466,ED000001513
467,ED000001517
470,ED000001532
471,ED000001532
472,ED000001532
473,ED000001533
474,ED000001533
493,ED000001570
496,ED000001575
498,ED000001577
502,ED000001589
503,ED000119400
504,ED000001594
506,ED000157245
507,ED000110071
508,ED000157241
512,ED000132522
513,ED000119403
514,ED000001614
515,ED000148876
516,ED000164203
517,ED000161445
518,ED000160183
519,ED000001647
520,ED000001647
522,ED000001648
525,ED000001670
526,ED000001676
527,ED000001688
531,ED000110083
537,ED000001709
538,ED000001710
539,ED000001711
540,ED000001712
541,ED000001713
542,ED000110084
543,ED000001719
548,
549,ED000001746
550,ED000001750
552,
557,ED000001787
558,ED000001790
559,ED000001791
560,ED000001792
561,ED000001793
563,ED000001803
568,ED000160184
571,ED000160187
573,
577,ED000110088
580,ED000110091
582,ED000117011
583,ED000117011
590,ED000119793
592,ED000001886
594,ED000177922
597,ED000110096
598,ED000001901
599,
601,ED000001902
602,ED000001903
605,ED000001904
606,ED000162870
607,ED000001918
609,ED000110098
617,ED000001926
619,ED000127581
621,
622,
624,ED000148880
625,ED000001929
626,ED000129437
627,ED000158803
628,ED000001941
629,ED000001934
630,ED000001932
631,ED000001933
635,ED000001940
636,
637,ED000001942
638,ED000134426
639,
640,ED000148881
641,ED000148882
642,ED000117013
643,ED000001949
644,ED000001950
645,ED000116286
646,ED000001953
647,ED000001951
648,ED000148883
649,ED000001954
650,ED000001952
651,ED000148884
652,
653,ED000119257
654,ED000119258
658,
659,ED000001979
660,ED000162801
661,ED000001987
662,ED000001985
663,ED000001989
664,ED000148886
669,ED000002000
670,ED000002001
671,ED000001999
673,ED000111867
674,ED000002012
679,ED000002016
680,ED000002021
681,ED000002022
682,ED000002017
683,
684,
687,ED000141981
688,
691,ED000156281
692,
693,
694,ED000002044
695,ED000110104
696,ED000002048
697,ED000002057
698,ED000002060
699,ED000153895
700,ED000002062
701,ED000002063
702,ED000002064
703,ED000148887
704,ED000168736
705,ED000168412
706,ED000002018
707,
708,ED000002020
709,ED000002065
710,ED000133310
711,ED000002075
712,ED000002076
715,ED000156283
716,ED000156284
734,
737,ED000002165
739,ED000002167
747,ED000002211
749,ED000117020
750,ED000148892
751,ED000110110
753,
754,ED000138327
755,ED000002243
756,ED000002244
757,ED000145198
759,ED000002246
762,ED000170045
769,ED000110121
771,ED000110123
773,ED000157291
780,ED000183793
781,ED000002309
783,ED000002310
790,ED000002317
792,ED000002319
799,ED000002329
800,ED000002327
802,ED000156063
805,ED000156063
806,ED000156063
807,ED000144207
808,ED000144206
809,
810,ED000176485
811,ED000148436
812,ED000151382
813,ED000110125
814,ED000002338
815,ED000110126
816,ED000110127
817,
818,ED000162874
821,
822,ED000002369
823,ED000148898
824,ED000158460
825,ED000002390
826,ED000002391
827,ED000002391
828,
832,
834,
835,
836,
837,ED000002403
838,
839,ED000002408
840,ED000002409
841,ED000002404
842,
843,ED000002430
844,ED000002431
845,ED000002432
846,ED000003680
847,ED000002435
848,ED000121244
849,ED000110130
850,ED000002438
853,ED000002443
855,ED000002445
856,ED000002446
857,ED000002448
860,
871,ED000002531
872,ED000002533
875,
876,
881,ED000002554
886,ED000110132
888,ED000110133
889,ED000002613
891,ED000172267
892,ED000002644
894,ED000148903
895,ED000148904
896,
897,ED000148905
898,ED000140461
899,ED000140540
900,ED000140437
901,ED000178911
902,ED000163623
903,ED000002422
904,ED000002423
905,ED000002668
906,ED000002668
907,ED000002670
908,ED000002670
910,ED000002672
911,ED000002672
912,ED000002672
913,ED000002672
914,ED000165944
915,ED000152440
916,ED000152438
917,ED000157246
918,ED000002698
919,ED000002699
920,
921,ED000002701
922,ED000002718
923,
924,ED000002719
926,
927,ED000002757
928,ED000002758
929,ED000002756
930,ED000145935
931,ED000145936
932,ED000110139
933,
934,ED000002764
935,
938,ED000141248
939,ED000002797
940,ED000002800
941,ED000002801
942,ED000002808
943,ED000002808
944,
945,ED000002822
946,ED000002824
947,ED000002825
948,ED000002825
949,ED000002852
950,ED000002854
952,ED000002850
953,ED000002851
954,ED000002849
956,ED000110141
957,
958,ED000002876
959,
960,ED000002883
962,ED000002885
965,ED000002920
966,ED000002910
968,
970,ED000110147
972,ED000143554
975,ED000002911
976,ED000177531
977,ED000002916
979,ED000002923
982,ED000002907
983,
984,ED000159014
985,
986,
987,ED000002955
988,ED000002955
990,
991,ED000002960
993,
994,ED000148910
995,ED000148911
996,ED000148912
998,ED000002975
1002,ED000180481
1004,ED000002991
1005,ED000169846
1007,ED000169845
1009,
1010,ED000157328
1012,ED000130660
1014,ED000003018
1015,ED000003018
1016,
1017,ED000003019
1018,ED000003020
1019,ED000003024
1020,ED000003024
1021,ED000003022
1022,ED000003022
1024,ED000003034
1026,ED000161108
1027,ED000003038
1029,ED000003037
1031,ED000003047
1032,ED000003048
1033,
1034,ED000157142
1035,
1036,
1037,ED000164187
1038,
1039,ED000003107
1041,ED000003110
1042,ED000003111
1044,ED000003109
1045,ED000009390
1046,ED000003109
1047,ED000003109
1048,ED000003112
1049,ED000003113
1050,
1051,ED000003123
1054,ED000003149
1055,ED000159814
1056,ED000159814
1058,ED000003154
1059,ED000003156
1060,ED000003156
1061,ED000003155
1062,ED000003157
1063,ED000115436
1064,ED000003159
1065,ED000003162
1066,ED000003160
1067,
1068,ED000110157
1069,ED000121569
1070,ED000003193
1071,ED000003194
1072,ED000003195
1074,ED000003196
1075,ED000003197
1076,ED000003228
1078,ED000160150
1089,ED000130232
1099,ED000127580
1101,ED000003257
1102,ED000159455
1103,ED000159456
1104,ED000003265
1105,ED000003266
1106,ED000003267
1107,ED000003267
1108,ED000003269
1110,ED000003271
1111,ED000003271
1112,ED000003270
1113,ED000003261
1114,ED000003260
1115,ED000127770
1116,ED000003274
1117,ED000003280
1118,ED000158544
1120,ED000003287
1121,ED000003288
1123,ED000144209
1124,ED000144210
1130,ED000003310
1131,
1132,
1133,ED000110163
1134,ED000003323
1136,ED000003337
1139,ED000121571
1140,ED000161151
1141,ED000161152
1142,ED000141990
1143,ED000003356
1149,ED000003380
1152,ED000003401
1155,ED000003421
1156,ED000155461
1157,ED000003429
1158,ED000003456
1159,ED000155832
1160,ED000003458
1163,ED000003481
1165,ED000003480
1172,ED000167860
1174,ED000158871
1175,ED000167861
1178,ED000003537
1179,ED000003536
1180,ED000121245
1182,ED000003563
1183,ED000003583
1184,ED000162985
1209,ED000180384
1210,ED000003689
1217,ED000003701
1218,ED000003698
1220,ED000173441
1228,
1230,ED000003709
1231,ED000003710
1232,ED000003711
1233,ED000003712
1234,ED000003714
1238,ED000119320
1239,ED000003721
1240,ED000003724
1242,ED000003729
1243,ED000003730
1244,ED000134634
1245,ED000134634
1246,
1247,ED000003719
1248,ED000003718
1249,ED000003749
1250,ED000003750
1251,ED000003755
1252,ED000003755
1253,ED000003756
1254,ED000003756
1255,ED000003753
1256,ED000003759
1257,ED000003754
1258,ED000003754
1259,ED000003771
1260,
1261,ED000131060
1262,ED000148116
1263,ED000148920
1265,ED000148117
1266,ED000158712
1267,ED000158713
1270,ED000003780
1272,ED000003782
1273,ED000003783
1274,ED000003787
1275,ED000003787
1278,ED000003810
1280,ED000003804
1281,ED000003806
1282,ED000003808
1283,
1285,
1286,ED000119259
1287,
1288,ED000157596
1290,ED000003867
1291,ED000003868
1293,ED000003883
1294,ED000003892
1295,ED000003904
1296,ED000003906
1297,ED000164183
1298,ED000003905
1300,ED000003909
1301,
1302,ED000003907
1303,ED000003914
1305,ED000003920
1306,ED000003955
1307,ED000119797
1308,ED000119798
1309,ED000119799
1310,ED000003957
1311,ED000003958
1312,
1313,ED000115317
1314,ED000003973
1315,ED000003973
1318,ED000003977
1319,ED000003980
1320,ED000003980
1321,ED000003983
1323,
1329,ED000003985
1375,ED000004071
1376,ED000004073
1377,
1378,ED000004061
1379,ED000004074
1380,ED000004075
1381,ED000004085
1389,
1391,
1393,ED000004090
1394,
1395,ED000004097
1396,
1397,
1399,ED000004102
1400,ED000004104
1401,
1402,ED000004106
1403,ED000004107
1404,ED000004108
1405,ED000004117
1406,ED000110207
1407,
1408,ED000004131
1409,
1410,ED000004139
1411,
1412,ED000004145
1413,ED000110208
1414,ED000110208
1415,ED000110209
1417,ED000004148
1419,ED000004151
1424,ED000156357
1426,ED000004196
1431,ED000004200
1433,ED000004201
1435,ED000004202
1437,
1438,ED000004227
1439,ED000004226
1441,ED000004251
1443,ED000004253
1445,ED000004259
1446,
1447,
1448,
1449,
1450,ED000004325
1451,ED000004326
1452,ED000004327
1454,ED000004360
1455,ED000004361
1456,ED000004361
1457,ED000004367
1458,ED000004368
1459,ED000004371
1460,ED000004372
1461,ED000004373
1462,ED000004387
1464,
1465,ED000004389
1467,ED000004393
1468,ED000004394
1469,ED000004404
1481,ED000004429
1491,ED000004497
1499,ED000004510
1500,ED000004515
1501,ED000004530
1502,ED000004529
1506,ED000004537
1509,ED000004541
1510,ED000134306
1511,ED000004543
1512,ED000004544
1513,ED000004545
1514,ED000004548
1515,ED000004550
1516,ED000004550
1517,ED000004551
1518,ED000004552
1519,ED000004559
1520,ED000004560
1521,ED000004562
1522,ED000004564
1523,ED000004581
1524,ED000004582
1525,ED000004583
1526,
1527,ED000004587
1528,ED000148928
1529,ED000156536
1530,ED000141253
1531,ED000141253
1532,ED000004590
1533,ED000004591
1534,ED000144643
1535,ED000004604
1536,ED000004605
1537,ED000004604
1542,ED000176864
1543,ED000004610
1544,ED000132209
1553,ED000004614
1571,ED000004636
1575,ED000004638
1577,ED000004641
1578,ED000004641
1580,ED000004643
1581,ED000176330
1582,ED000004645
1584,ED000004650
1586,ED000004654
1588,
1590,ED000176358
1592,ED000004656
1593,ED000166092
1595,ED000169805
1596,ED000004658
1597,
1598,ED000004659
1601,ED000114421
1602,ED000004661
1603,ED000004661
1605,ED000004662
1606,
1607,ED000004677
1608,ED000004677
1610,ED000004678
1611,ED000117057
1612,ED000004679
1613,ED000004680
1614,ED000004681
1615,ED000004682
1616,ED000004683
1617,
1618,ED000004684
1619,ED000004685
1620,ED000004686
1621,ED000004686
1622,ED000004687
1625,
1628,ED000004690
1629,ED000004694
1630,ED000004695
1636,ED000004709
1640,ED000004718
1643,ED000004716
1645,ED000004721
1648,ED000110227
1657,ED000004728
1658,ED000004728
1683,ED000004792
1684,ED000004793
1685,ED000004794
1686,ED000148934
1688,ED000004848
1690,ED000004847
1692,
1694,ED000158738
1695,ED000158739
1696,ED000158740
1698,ED000004878
1699,ED000121574
1700,ED000004874
1702,ED000004904
1703,
1704,ED000164177
1706,ED000004922
1707,ED000004900
1708,ED000164179
1709,ED000004949
1711,ED000004955
1712,ED000004963
1713,ED000004957
1714,ED000004958
1715,ED000004960
1716,ED000110231
1717,ED000004965
1736,ED000164165
1742,ED000005013
1743,ED000005014
1754,ED000005049
1755,ED000005049
1760,ED000005052
1768,ED000175233
1774,ED000005108
1775,ED000005108
1792,ED000110236
1793,
1794,ED000005131
1795,ED000005130
1796,ED000005133
1797,
1798,ED000005134
1800,ED000005136
1801,ED000005135
1803,ED000005162
1804,ED000005165
1805,ED000005166
1806,ED000005167
1807,ED000005178
1808,ED000005173
1809,ED000005181
1810,ED000005182
1811,ED000119392
1812,
1813,ED000119392
1814,
1815,ED000005177
1820,ED000005198
1824,
1825,
1826,
1827,ED000145939
1828,ED000175612
1829,ED000168413
1830,ED000110242
1831,ED000005236
1832,ED000005237
1833,ED000005240
1834,ED000121576
1835,ED000005242
1836,ED000005243
1838,ED000005243
1839,
1840,ED000110243
1841,ED000121210
1842,
1843,ED000148939
1844,ED000005272
1845,ED000005272
1846,ED000005280
1847,ED000172622
1848,ED000005297
1849,ED000003109
1851,ED000005299
1852,ED000005299
1853,ED000005304
1855,ED000110245
1857,ED000119422
1858,
1859,ED000005308
1860,ED000005309
1861,ED000005309
1862,ED000005314
1863,
1864,
1866,
1867,ED000005350
1868,ED000005350
1869,ED000005351
1870,ED000005352
1871,ED000005354
1872,ED000005357
1873,ED000005359
1875,ED000005358
1877,ED000005369
1879,ED000005375
1880,ED000005380
1882,ED000005395
1883,ED000005395
1885,ED000005396
1886,ED000005399
1887,ED000005400
1888,ED000005399
1891,ED000005403
1893,ED000005411
1894,ED000005412
1896,ED000005413
1899,ED000005414
1901,
1902,ED000005415
1904,ED000005419
1905,ED000005420
1906,ED000005421
1908,ED000005424
1912,ED000005449
1918,ED000174786
1921,ED000174806
1922,ED000174807
1923,ED000174809
1924,ED000174810
1925,ED000174812
1926,ED000174801
1927,ED000174799
1928,ED000176665
1932,ED000005454
1934,ED000005454
1935,ED000005455
1937,ED000005456
1938,ED000005456
1939,ED000148945
1941,ED000005503
1942,ED000005485
1943,ED000061781
1944,ED000061781
1945,
1946,ED000005492
1947,ED000005493
1948,
1950,ED000005495
1951,ED000005496
1954,ED000005505
1955,ED000005509
1956,ED000005509
1957,ED000005508
1959,ED000121011
1961,
1962,
1967,ED000005543
1968,
1970,ED000005545
1971,ED000005545
1972,ED000141259
1973,ED000005546
1974,
1975,
1976,ED000153086
1977,ED000005576
1978,ED000005576
1979,ED000005574
1980,ED000005577
1981,ED000121577
1982,ED000005578
1987,ED000005589
1989,ED000005591
1990,ED000110258
1994,ED000005618
1995,
1997,
1998,ED000005633
2000,ED000005660
2001,
2002,ED000005670
2003,ED000005682
2004,ED000005682
2005,ED000005683
2006,ED000005683
2007,ED000164260
2008,ED000005684
2009,ED000005684
2010,ED000115860
2011,ED000005685
2014,ED000143841
2022,ED000148955
2023,ED000005710
2024,ED000005737
2034,ED000005742
2037,ED000005768
2038,ED000005769
2041,
2042,ED000005788
2045,ED000175096
2047,
2049,ED000005824
2050,ED000005824
2051,ED000005824
2052,ED000005824
2053,ED000005826
2055,ED000005825
2056,ED000005829
2058,ED000005830
2059,ED000005830
2061,ED000110265
2062,ED000005832
2063,ED000169698
2064,ED000157738
2065,ED000124805
2066,ED000133132
2071,ED000178771
2072,ED000178772
2073,ED000005867
2074,ED000110267
2075,ED000110267
2076,ED000005866
2077,ED000110267
2078,ED000005871
2085,ED000005880
2086,ED000110268
2088,ED000157385
2094,ED000177519
2095,ED000005898
2108,ED000110276
2111,ED000005967
2113,ED000148321
2114,ED000005971
2115,ED000170719
2120,ED000006018
2122,ED000170964
2124,ED000166416
2126,ED000006033
2127,ED000006038
2128,ED000006040
2130,ED000006053
2132,ED000141265
2133,
2135,ED000120898
2141,ED000110289
2142,ED000110290
2143,ED000006066
2145,"IMPULSE PHARMA"""""
2148,ED000006069
2149,ED000117084
2150,ED000117085
2151,ED000117086
2152,ED000006081
2153,ED000176047
2155,ED000006085
2157,ED000006086
2159,
2160,ED000006088
2161,ED000006088
2162,ED000117088
2163,ED000117089
2164,
2165,ED000006090
2166,
2167,ED000006091
2168,ED000006092
2169,ED000006093
2170,ED000006094
2172,
2173,
2174,
2175,ED000006099
2176,
2177,ED000006105
2178,ED000006105
2179,ED000006105
2181,
2182,ED000006101
2183,ED000006101
2184,ED000006101
2185,ED000006104
2186,ED000006104
2187,ED000006106
2188,ED000006109
2189,ED000006109
2190,ED000006108
2191,ED000006108
2192,ED000006100
2193,ED000006110
2194,ED000006100
2195,ED000006111
2196,ED000006111
2197,ED000006112
2198,ED000006113
2199,ED000006111
2200,ED000006112
2201,ED000163645
2202,ED000163645
2203,ED000006114
2204,ED000006115
2205,ED000006114
2206,ED000006114
2207,ED000006114
2208,ED000006117
2209,ED000110299
2210,ED000110299
2212,ED000110300
